# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	20166
#@/user_id	Mac
a 	啊	c=29 d=0.0857962 t=20166
nian nian 	年年	c=1 d=8.15896e-19 t=20166
nian zhong 	年終	c=3 d=0.0993282 t=20166
nian zhong jiang 	年終獎	c=1 d=1.25424e-18 t=20166
niao 	鳥	c=2 d=0.12011 t=20166
niao hua 	鳥話	c=1 d=0.00100779 t=20166
nie 	捏	c=4 d=3.27398e-06 t=20166
nie si 	捏死	c=0 d=1.19946e-23 t=20166
nie si le 	捏死了	c=1 d=1.20547e-22 t=20166
ning meng 	檸檬	c=1 d=0.0143357 t=20166
niu 	牛	c=1 d=4.56027e-28 t=20166
niu a 	牛啊	c=1 d=1.84231e-12 t=20166
niu de 	牛德	c=1 d=0.0216013 t=20166
niu wa 	牛蛙	c=1 d=8.87373e-07 t=20166
nong 	弄	c=5 d=4.20995e-11 t=20166
nong dao 	弄到	c=1 d=0.00185476 t=20166
nong de 	弄得	c=0 d=0.0147342 t=20166
nong le 	弄了	c=1 d=4.94277e-05 t=20166
nong li 	農歷	c=3 d=0.00130695 t=20166
nong xin de 	弄新的	c=1 d=5.85252e-22 t=20166
nong yi xia 	弄一下	c=1 d=7.10779e-14 t=20166
nuo de 	諾的	c=1 d=1.61355e-11 t=20166
nv de 	女的	c=1 d=0.0441572 t=20166
nv ren 	女人	c=0 d=0.00424257 t=20166
nv sheng 	女生	c=1 d=2.24127e-24 t=20166
o 	哦	c=15 d=0.142288 t=20166
o 	噢	c=3 d=3.91208e-18 t=20166
o o 	噢噢	c=2 d=0.000173384 t=20166
o o o 	哦哦哦	c=0 d=2.97013e-14 t=20166
o o o o o o 	哦哦哦哦哦哦	c=1 d=2.98502e-13 t=20166
ou er 	偶爾	c=1 d=2.94008e-11 t=20166
ou ran 	偶然	c=1 d=4.45085e-07 t=20166
ou ya 	歐亞	c=1 d=0.449329 t=20166
ou zhou 	歐洲	c=1 d=0.396531 t=20166
pa 	怕	c=1 d=9.57463e-19 t=20166
pa bu shi 	怕不是	c=1 d=3.67555e-20 t=20166
pa de 	怕得	c=1 d=8.34107e-14 t=20166
pa de 	爬的	c=1 d=8.05418e-14 t=20166
pa ge 	帕格	c=0 d=4.09025e-14 t=20166
pa ge qiu 	帕格球	c=1 d=4.11075e-13 t=20166
pa sha 	怕啥	c=1 d=2.8404e-17 t=20166
pa shi 	怕是	c=1 d=1.37568e-17 t=20166
pai cha 	排查	c=1 d=4.45237e-11 t=20166
pai chu 	排出	c=1 d=5.25109e-11 t=20166
pai cuo 	排錯	c=0 d=4.0446e-29 t=20166
pai xu 	排序	c=2 d=2.253e-16 t=20166
pan ding 	判定	c=1 d=4.68144e-13 t=20166
pan duan 	判斷	c=14 d=0.000159256 t=20166
pan duan yi ju 	判斷一句	c=1 d=2.29129e-19 t=20166
pan gu 	盤古	c=1 d=5.16702e-18 t=20166
pao 	泡	c=0 d=0.00645703 t=20166
pao 	跑	c=7 d=0.00711034 t=20166
pao chu lai 	拋出來	c=1 d=1.03865e-05 t=20166
pao dao 	跑道	c=2 d=1.75646e-10 t=20166
pao ge 	跑個	c=1 d=9.53661e-31 t=20166
pao kai 	拋開	c=1 d=1.14571e-12 t=20166
pao le 	跑了	c=1 d=0.00241755 t=20166
pao le yi xia 	跑了一下	c=1 d=4.27779e-11 t=20166
pao yi bei 	泡一杯	c=1 d=0.064894 t=20166
pei 	配	c=2 d=5.42779e-18 t=20166
pei chang 	賠償	c=0 d=0.00485578 t=20166
pei de 	配的	c=2 d=1.40978e-11 t=20166
pei dui 	配對	c=1 d=2.58791e-10 t=20166
pei fu 	佩服	c=1 d=2.62202e-17 t=20166
pei he 	配合	c=1 d=0.000735471 t=20166
pei xun 	培訓	c=1 d=3.08809e-30 t=20166
pei zhi 	配制	c=2 d=3.1055e-15 t=20166
pei zhi 	配置	c=22 d=0.873716 t=20166
pei zhi de 	配制的	c=1 d=2.30435e-27 t=20166
pei zhi wen jian 	配置文件	c=1 d=0.860708 t=20166
peng guo 	碰過	c=1 d=2.86602e-05 t=20166
peng you quan 	朋友圈	c=2 d=1.55482e-16 t=20166
peng zhuang 	碰撞	c=1 d=8.43063e-22 t=20166
pi 	批	c=3 d=0.000697415 t=20166
pi bei 	疲憊	c=1 d=0.0140519 t=20166
pi pei 	匹配	c=1 d=8.09318e-12 t=20166
pi sa 	披薩	c=1 d=2.44476e-17 t=20166
pi shi 	屁事	c=1 d=1.34752e-09 t=20166
pian 	偏	c=2 d=5.76281e-09 t=20166
pian 	篇	c=0 d=0.0398519 t=20166
pian duan 	片段	c=1 d=0.112478 t=20166
pian ren 	騙人	c=0 d=8.70987e-24 t=20166
pian suan 	偏酸	c=1 d=1.03989e-19 t=20166
pian yi 	便宜	c=0 d=2.7897e-05 t=20166
pian yi a 	便宜啊	c=1 d=1.3747e-05 t=20166
pian yi de 	便宜的	c=1 d=1.5404e-24 t=20166
piao 	票	c=0 d=2.54441e-05 t=20166
piao le 	漂了	c=1 d=0.00410726 t=20166
piao mai dao le ma 	票買到了嗎	c=1 d=1.33366e-05 t=20166
pin ci 	頻次	c=2 d=0.00129169 t=20166
pin jie 	拼接	c=1 d=6.49603e-14 t=20166
pin le 	拼了	c=0 d=0.0869358 t=20166
pin le qi lai 	拼了起來	c=1 d=0.873716 t=20166
pin lv 	頻率	c=2 d=1.28083e-20 t=20166
pin pai 	品牌	c=2 d=2.31724e-22 t=20166
pin pai de 	品牌的	c=1 d=2.00746e-22 t=20166
pin qi lai 	拼起來	c=2 d=1.55903 t=20166
pin yin 	拼音	c=0 d=6.69728e-21 t=20166
pin yin kuai 	拼音快	c=1 d=6.73085e-20 t=20166
ping 	平	c=0 d=1.69685e-16 t=20166
ping 	憑	c=2 d=1.21827e-12 t=20166
ping fang 	平方	c=4 d=0.00222758 t=20166
ping fang he 	平方和	c=1 d=7.69847e-12 t=20166
ping ge 	平哥	c=1 d=0.00887071 t=20166
ping gu 	評估	c=4 d=8.94658e-12 t=20166
ping guo 	平果	c=1 d=2.88039e-05 t=20166
ping heng 	平衡	c=2 d=5.88906e-07 t=20166
ping huan 	平緩	c=1 d=0.00463092 t=20166
ping jia 	評價	c=1 d=1.62035e-27 t=20166
ping jia mo xing 	評價模型	c=1 d=3.67805e-28 t=20166
ping jing yan 	平經驗	c=1 d=1.70536e-15 t=20166
ping jun 	平均	c=9 d=0.0137091 t=20166
ping jun zhi 	平均值	c=1 d=2.60717e-09 t=20166
ping mian 	平面	c=1 d=2.32956e-08 t=20166
ping mu 	屏幕	c=1 d=5.06962e-10 t=20166
ping shen 	評審	c=2 d=0.00355287 t=20166
ping shi 	平時	c=2 d=1.71864e-18 t=20166
ping tai 	平台	c=4 d=0.000376347 t=20166
ping tai de 	平台的	c=1 d=2.31629e-29 t=20166
ping tan 	平坦	c=1 d=1.14848e-11 t=20166
ping xing 	平行	c=1 d=1.15663e-06 t=20166
ping zi 	瓶子	c=0 d=9.44363e-05 t=20166
po you 	頗有	c=1 d=0.0987662 t=20166
prome thus 	promethus	c=1 d=0.687289 t=20166
pu 	普	c=1 d=3.4753e-08 t=20166
pu bian 	普遍	c=2 d=7.85532e-14 t=20166
pu ji 	普及	c=1 d=0.145876 t=20166
pu luo mi xiu si 	普羅米修斯	c=6 d=0.0284388 t=20166
pu tian 	普天	c=1 d=0.386741 t=20166
pu tian gai di 	铺天盖地	c=1 d=0.396531 t=20166
pu tong 	普通	c=1 d=8.6323e-06 t=20166
qi 	七	c=1 d=0.00042433 t=20166
qi 	其	c=1 d=9.44684e-08 t=20166
qi 	嘁	c=1 d=0.000350903 t=20166
qi 	期	c=2 d=0.00246639 t=20166
qi 	氣	c=1 d=4.7975e-07 t=20166
qi 	起	c=1 d=0.474734 t=20166
qi an 	齐安	c=0 d=4.71869e-19 t=20166
qi an pan gu 	齐安盤古	c=1 d=4.74234e-18 t=20166
qi chuang 	起牀	c=1 d=3.01656e-19 t=20166
qi chuang le 	起牀了	c=1 d=7.93832e-20 t=20166
qi dai 	期待	c=1 d=2.22206e-11 t=20166
qi dao 	起到	c=1 d=3.09776e-08 t=20166
qi dian 	起點	c=1 d=0.0281559 t=20166
qi dong 	啓動	c=2 d=9.02148e-10 t=20166
qi er 	氣兒	c=1 d=2.37089e-09 t=20166
qi fen 	氣氛	c=1 d=3.9489e-11 t=20166
qi fu 	欺負	c=1 d=8.09869e-20 t=20166
qi guai 	奇怪	c=0 d=1.48818e-31 t=20166
qi jian 	旗艦	c=0 d=3.22079e-26 t=20166
qi jian 	期間	c=0 d=2.83799e-08 t=20166
qi jian ban 	旗艦版	c=1 d=3.23694e-25 t=20166
qi lai 	起來	c=6 d=0.456124 t=20166
qi shi 	其實	c=21 d=0.0367648 t=20166
qi shi 	啓示	c=1 d=2.8527e-09 t=20166
qi shi wo jue de 	其實我覺得	c=1 d=3.03642e-08 t=20166
qi ta 	其他	c=24 d=0.814443 t=20166
qi ta de 	其他的	c=3 d=0.000602152 t=20166
qi ta gong si 	其他公司	c=1 d=0.0212797 t=20166
qi ta ren 	其他人	c=2 d=0.00367942 t=20166
qi ta tuan dui 	其他團隊	c=3 d=6.82799e-08 t=20166
qi ta zhang hao 	其他帳號	c=1 d=4.12139e-14 t=20166
qi wang 	期望	c=3 d=2.18898e-11 t=20166
qi ye 	企業	c=2 d=1.91678 t=20166
qi yi guo 	奇異果	c=1 d=5.05911e-14 t=20166
qi yin 	起因	c=1 d=5.30296e-09 t=20166
qi yong 	棄用	c=1 d=2.09736e-08 t=20166
qi yu 	其餘	c=1 d=1.31832e-16 t=20166
qi yuan 	起源	c=3 d=0.0660042 t=20166
qi zhong 	其中	c=5 d=1.47817 t=20166
qian 	前	c=3 d=0.0965605 t=20166
qian 	淺	c=1 d=1.25058e-13 t=20166
qian 	錢	c=1 d=1.76947e-08 t=20166
qian bao 	錢包	c=1 d=2.99224e-12 t=20166
qian bi 	鉛筆	c=1 d=1.08665e-07 t=20166
qian che 	牽扯	c=1 d=1.28158e-07 t=20166
qian dao wei 	錢到位	c=1 d=1.48666e-18 t=20166
qian fu qi 	潛伏期	c=1 d=3.42472e-12 t=20166
qian jin 	前進	c=1 d=0.000284437 t=20166
qian liang 	前兩	c=0 d=1.72162e-10 t=20166
qian liang wen 	前兩問	c=1 d=1.73025e-09 t=20166
qian mian 	前面	c=3 d=0.000575656 t=20166
qian mian de 	前面的	c=1 d=3.27682e-22 t=20166
qian qi 	前期	c=1 d=7.49921e-27 t=20166
qian qian 	淺淺	c=1 d=0.00571306 t=20166
qian san ge 	前三個	c=1 d=2.37203e-44 t=20166
qian she 	牽涉	c=1 d=4.34096e-07 t=20166
qian ti 	前提	c=1 d=1.88375e-09 t=20166
qian ti 	前體	c=1 d=1.87436e-09 t=20166
qian ti xia 	前提下	c=2 d=3.76475e-08 t=20166
qian wen 	前文	c=1 d=1.8692e-06 t=20166
qian yi tian 	前一天	c=5 d=0.00186035 t=20166
qian zai 	潛在	c=1 d=1.03221e-20 t=20166
qian zhen zi 	前陣子	c=1 d=8.8967e-08 t=20166
qiang 	強	c=2 d=0.516851 t=20166
qiang 	牆	c=1 d=1.6152e-23 t=20166
qiang shou 	槍手	c=1 d=4.03841e-10 t=20166
qiang yi zhi xing 	強一致性	c=1 d=2.21935e-26 t=20166
qiang zhi 	強制	c=1 d=1.8506e-06 t=20166
qiao ni 	瞧你	c=1 d=0.000457378 t=20166
qiao qiao 	悄悄	c=1 d=2.1401e-10 t=20166
qie 	且	c=4 d=5.84555e-08 t=20166
qie 	切	c=6 d=1.97589e-12 t=20166
qie huan 	切換	c=15 d=5.33793e-05 t=20166
qie huan dao 	切換到	c=3 d=1.61742e-06 t=20166
qie huan hou 	切換後	c=2 d=1.97766e-14 t=20166
qie ru 	切入	c=1 d=2.93398e-16 t=20166
qin ru 	侵入	c=0 d=0.00018363 t=20166
qing 	慶	c=2 d=5.29457e-18 t=20166
qing 	請	c=6 d=0.0197456 t=20166
qing chu 	清楚	c=4 d=0.0208937 t=20166
qing chu 	輕觸	c=1 d=2.17873e-44 t=20166
qing ge 	慶哥	c=51 d=0.224629 t=20166
qing jia 	請假	c=3 d=2.8519e-05 t=20166
qing jia le ma 	請加了嗎	c=1 d=0.0161635 t=20166
qing jiao 	請教	c=1 d=4.09944e-10 t=20166
qing jing 	情景	c=1 d=1.9718e-17 t=20166
qing ke 	請客	c=1 d=5.07653e-25 t=20166
qing kong 	清空	c=1 d=0.00229965 t=20166
qing kuang 	情況	c=14 d=0.00871708 t=20166
qing qiu 	請求	c=9 d=8.28774e-11 t=20166
qing qiu shu 	請求數	c=1 d=2.07862e-20 t=20166
qing shang 	情商	c=0 d=0.000105417 t=20166
qing song 	輕鬆	c=1 d=3.11054e-27 t=20166
qing suan 	清算	c=1 d=0.00158052 t=20166
qing ting 	傾聽	c=1 d=6.19099e-07 t=20166
qing wen 	請問	c=2 d=0.000921047 t=20166
qing xi 	清晰	c=1 d=1.03042e-29 t=20166
qing yi 	輕易	c=1 d=0.000269215 t=20166
qing zhou 	輕舟	c=1 d=9.59941e-20 t=20166
qiu 	求	c=2 d=1.20987e-06 t=20166
qiu 	球	c=0 d=0.00026189 t=20166
qiu de 	求的	c=1 d=1.4502e-20 t=20166
qiu he 	求和	c=1 d=7.09547e-23 t=20166
qiu zhi 	求職	c=1 d=1.18591e-06 t=20166
qu 	區	c=3 d=5.48516e-25 t=20166
qu 	去	c=32 d=0.760701 t=20166
qu 	取	c=5 d=0.000327839 t=20166
qu bie 	區別	c=4 d=0.0113902 t=20166
qu bu 	覷步	c=1 d=4.57768e-14 t=20166
qu bu diao 	去不掉	c=1 d=0.0152222 t=20166
qu bu liao le 	去不了了	c=1 d=2.16683e-09 t=20166
qu chong 	去重	c=1 d=6.3674e-14 t=20166
qu dao 	去到	c=0 d=6.8456e-14 t=20166
qu dao 	取到	c=1 d=1.85571e-09 t=20166
qu dao 	渠道	c=2 d=1.84253e-13 t=20166
qu de 	取得	c=1 d=1.70977e-16 t=20166
qu de piao 	去的票	c=1 d=0.0207543 t=20166
qu diao 	去掉	c=3 d=7.15947e-11 t=20166
qu diao le 	去掉了	c=1 d=8.76872e-14 t=20166
qu dong 	驅動	c=1 d=1.22053e-21 t=20166
qu dong li 	驅動力	c=1 d=2.80584e-20 t=20166
qu fen 	區分	c=2 d=4.6012e-17 t=20166
qu jian 	區間	c=3 d=2.18039e-09 t=20166
qu jian tou 	去箭頭	c=1 d=7.31927e-06 t=20166
qu le 	去了	c=2 d=2.27831e-11 t=20166
qu le 	取了	c=1 d=4.37774e-18 t=20166
qu le chang sha 	去了長沙	c=1 d=0.00047367 t=20166
qu ma 	去嗎	c=1 d=0.0461896 t=20166
qu mai ge 	去買個	c=1 d=9.4385e-27 t=20166
qu na 	去哪	c=0 d=2.66346e-26 t=20166
qu na 	去拿	c=1 d=2.12494e-44 t=20166
qu na ge 	去哪個	c=1 d=2.67681e-25 t=20166
qu na li 	去哪裏	c=1 d=1.03383e-09 t=20166
qu na li le 	去哪裏了	c=1 d=2.04343e-25 t=20166
qu nian 	去年	c=3 d=6.59416e-06 t=20166
qu shi 	趨勢	c=2 d=0.00470091 t=20166
qu xian 	曲線	c=13 d=0.000172924 t=20166
qu xiao 	取消	c=1 d=3.97829e-10 t=20166
qu yang 	取樣	c=1 d=4.06847e-09 t=20166
qu yi tang 	去一趟	c=1 d=0.0448245 t=20166
qu yong 	取用	c=1 d=5.07221e-15 t=20166
qu yu 	區域	c=3 d=7.13805e-21 t=20166
qu zhao ni 	去找你	c=1 d=0.650509 t=20166
qu zhe 	曲折	c=1 d=0.190139 t=20166
qu zuo 	去做	c=1 d=6.63629e-30 t=20166
quan 	全	c=1 d=1.15899e-30 t=20166
quan 	權	c=3 d=0.705199 t=20166
quan bu 	全部	c=4 d=0.00898153 t=20166
quan cuo de 	全錯的	c=1 d=7.89335e-12 t=20166
quan ju 	全局	c=3 d=1.01632e-14 t=20166
quan mian 	全面	c=7 d=1.44466 t=20166
quan qiu 	全球	c=1 d=6.09986e-09 t=20166
quan shi 	詮釋	c=0 d=3.76988e-25 t=20166
quan shi jie 	全世界	c=1 d=3.59909e-08 t=20166
quan shi le 	詮釋了	c=1 d=3.78877e-24 t=20166
quan wei 	權威	c=1 d=6.44365e-07 t=20166
quan xian 	權限	c=2 d=9.995e-14 t=20166
que 	卻	c=2 d=1.34729e-07 t=20166
que bao 	確保	c=1 d=3.0181e-25 t=20166
que dian 	缺點	c=1 d=0.00860854 t=20166
que ding 	確定	c=16 d=0.0402373 t=20166
que ding le 	確定了	c=1 d=0.085435 t=20166
que fa 	缺乏	c=4 d=9.39813e-06 t=20166
que huan 	雀環	c=1 d=9.38184e-15 t=20166
que ren 	確認	c=3 d=1.50912e-10 t=20166
que shao 	缺少	c=2 d=1.66212e-07 t=20166
que shi 	確實	c=8 d=2.60652e-05 t=20166
qun 	羣	c=1 d=3.49331e-11 t=20166
qun li 	羣裏	c=7 d=6.08308e-06 t=20166
qun nei 	羣內	c=1 d=1.20757e-13 t=20166
qun shou kuan 	羣收款	c=1 d=3.51082e-10 t=20166
qun zhong 	羣衆	c=1 d=1.40638e-12 t=20166
qun zhu 	群柱	c=1 d=3.54671e-12 t=20166
ran er 	然而	c=3 d=0.227638 t=20166
ran hou 	然後	c=21 d=1.47159 t=20166
ran shou 	然手	c=1 d=0.0020601 t=20166
rang 	讓	c=23 d=1.403e-05 t=20166
rang ji qi 	讓機器	c=1 d=8.14482e-28 t=20166
rang ren 	讓人	c=1 d=0.00914087 t=20166
rang ta 	讓他	c=2 d=2.81657e-06 t=20166
rang ta men 	讓他們	c=3 d=0.000229412 t=20166
rang wo 	讓我	c=6 d=5.65718e-05 t=20166
rang wo men 	讓我們	c=2 d=4.79995e-13 t=20166
rao 	繞	c=0 d=4.35664e-21 t=20166
rao bu kai de 	繞不開的	c=1 d=4.37848e-20 t=20166
rao zhu le 	繞住了	c=1 d=2.5626e-12 t=20166
re 	熱	c=1 d=6.65834e-10 t=20166
re bu 	熱補	c=0 d=1.08178e-14 t=20166
re bu re 	熱補熱	c=1 d=1.0872e-13 t=20166
ren 	人	c=24 d=0.40912 t=20166
ren cheng 	人稱	c=1 d=5.91536e-30 t=20166
ren gong 	人工	c=1 d=1.23515e-15 t=20166
ren gong jue ce 	人工決策	c=1 d=1.24134e-14 t=20166
ren he 	人和	c=0 d=7.48239e-31 t=20166
ren he ren 	人和人	c=2 d=1.51917e-29 t=20166
ren jia 	人家	c=1 d=0.0459593 t=20166
ren ke 	認可	c=2 d=1.91222e-09 t=20166
ren shi 	認識	c=6 d=2.01803 t=20166
ren wei 	人為	c=1 d=1.71893e-20 t=20166
ren wei 	認爲	c=9 d=0.371577 t=20166
ren wei de 	認爲的	c=1 d=2.51964e-19 t=20166
ren wu 	任務	c=7 d=0.00229679 t=20166
ren ye 	人也	c=0 d=7.94508e-31 t=20166
ren ye shi 	人也是	c=1 d=7.9849e-30 t=20166
ren yuan 	人員	c=1 d=0.00154923 t=20166
ren zhen 	認真	c=1 d=2.9617e-16 t=20166
ren zhen ting jiang 	認真聽講	c=1 d=2.68146e-16 t=20166
ren zheng fei 	任正非	c=1 d=7.54217e-06 t=20166
ren zhi 	認知	c=1 d=4.38384e-05 t=20166
ri 	日	c=2 d=0.000285596 t=20166
ri bao 	日報	c=1 d=2.95221e-30 t=20166
ri ben 	日本	c=2 d=1.03909 t=20166
ri huan bi 	日環比	c=1 d=0.000141955 t=20166
ri li 	日曆	c=0 d=1.92902e-17 t=20166
ri qi 	日期	c=7 d=0.0322364 t=20166
ri zhi 	日誌	c=21 d=0.0608511 t=20166
ri zi 	日子	c=3 d=0.000948468 t=20166
rong 	容	c=1 d=5.63376e-15 t=20166
rong duan 	熔斷	c=10 d=2.91482e-13 t=20166
rong duan hou 	熔斷後	c=1 d=1.30498e-14 t=20166
rong duan qian 	熔斷前	c=1 d=1.29848e-14 t=20166
rong ji 	容積	c=9 d=1.80842e-09 t=20166
rong liang 	容量	c=74 d=0.0749146 t=20166
rong na 	容納	c=1 d=2.511e-08 t=20166
rong qi 	容器	c=5 d=9.51134e-11 t=20166
rong qi de 	容器的	c=1 d=2.27282e-12 t=20166
rong ren 	容忍	c=1 d=2.78369e-15 t=20166
rong ren du 	容忍度	c=1 d=1.52165e-27 t=20166
rong yi 	容易	c=1 d=3.2718e-05 t=20166
rong yi a 	容易啊	c=1 d=0.00032882 t=20166
ru 	入	c=1 d=3.27403e-12 t=20166
ru 	如	c=2 d=2.71554e-21 t=20166
ru chu 	如初	c=1 d=9.51715e-07 t=20166
ru chu yi zhe 	如出一辙	c=1 d=9.56486e-07 t=20166
ru ci 	如此	c=3 d=0.240508 t=20166
ru guo 	如果	c=79 d=0.369997 t=20166
ru guo shi 	如果是	c=1 d=1.99745e-22 t=20166
ru he 	如何	c=17 d=0.401507 t=20166
ru he rang 	如何讓	c=1 d=1.48793e-28 t=20166
ru kou 	入口	c=2 d=2.10985e-26 t=20166
ru men 	入門	c=2 d=1.24328e-07 t=20166
ru shou 	入手	c=2 d=1.58542e-10 t=20166
ru wang 	入網	c=1 d=0.00164502 t=20166
ru zhi 	入職	c=2 d=4.43843e-25 t=20166
ruan dui 	軟對	c=1 d=6.25321e-07 t=20166
ruan jian 	軟件	c=7 d=0.00256704 t=20166
ruan jian jia gou 	軟件架構	c=2 d=1.65919e-08 t=20166
rui xin 	瑞辛	c=3 d=2.06115e-09 t=20166
run se 	潤色	c=1 d=2.03116e-13 t=20166
sa 	撒	c=1 d=2.53926e-22 t=20166
sai bo 	賽博	c=1 d=9.34966e-05 t=20166
sai bo la ji 	賽博垃圾	c=1 d=0.000939653 t=20166
sai dao 	賽道	c=1 d=3.78297e-06 t=20166
san 	散	c=1 d=3.64975e-26 t=20166
san dian 	三點	c=0 d=4.17288e-14 t=20166
san dian 	散點	c=1 d=1.28067e-28 t=20166
san dian ban zuo wan 	三點半做完	c=1 d=4.1938e-13 t=20166
san dian tu 	散點圖	c=8 d=8.39125e-23 t=20166
san ge 	三個	c=4 d=0.878095 t=20166
san ge ren 	三個人	c=1 d=0.00465413 t=20166
san luo 	散落	c=0 d=0.0582748 t=20166
san luo zai 	散落在	c=1 d=0.585669 t=20166
san wei 	三維	c=1 d=9.86118e-13 t=20166
san zhi 	三指	c=1 d=2.15706e-44 t=20166
sao ga 	掃噶	c=3 d=2.28305e-06 t=20166
schema 	schema	c=1 d=0.000876127 t=20166
sen 	森	c=0 d=0.000775048 t=20166
sha 	啥	c=16 d=0.807041 t=20166
sha de 	啥的	c=2 d=1.80178e-15 t=20166
sha di zhi 	啥地址	c=1 d=3.86531e-24 t=20166
sha dou you 	啥都有	c=1 d=7.6494e-25 t=20166
sha gong neng 	啥功能	c=1 d=3.50474e-19 t=20166
sha huo dong 	啥活動	c=1 d=3.99959e-14 t=20166
sha mo 	沙漠	c=1 d=0.375311 t=20166
sha ne 	啥呢	c=1 d=1.0762e-11 t=20166
sha shi hou 	啥時候	c=4 d=2.62938e-12 t=20166
sha shou jian 	殺手鐗	c=1 d=0.0222592 t=20166
sha wen ti 	啥問題	c=1 d=0.00504176 t=20166
sha yi si 	啥意思	c=1 d=9.07952e-12 t=20166
sha zi 	傻子	c=0 d=1.17755e-12 t=20166
sha zi 	啥子	c=1 d=1.18938e-11 t=20166
shan chu 	刪除	c=1 d=9.24374e-17 t=20166
shan diao le 	刪掉了	c=1 d=4.86737e-30 t=20166
shan mu 	山姆	c=1 d=0.00100779 t=20166
shan shi shan zhong 	善始善终	c=1 d=1.06585e-15 t=20166
shang 	上	c=61 d=0.100101 t=20166
shang 	商	c=3 d=0.00453432 t=20166
shang ban 	上班	c=3 d=0.0685632 t=20166
shang ban le ma 	上班了嗎	c=1 d=6.61352e-19 t=20166
shang chang 	商場	c=1 d=1.88407e-11 t=20166
shang ci 	上次	c=12 d=3.44889e-05 t=20166
shang dian nao ke 	上電腦課	c=1 d=3.90761e-05 t=20166
shang gu 	上古	c=2 d=1.25781e-12 t=20166
shang hu 	商戶	c=3 d=0.00177975 t=20166
shang hu fu wu 	商戶服務	c=1 d=0.00151855 t=20166
shang ji 	上級	c=1 d=2.10752e-06 t=20166
shang ji 	商機	c=1 d=2.09701e-06 t=20166
shang jia 	上家	c=1 d=2.05157e-13 t=20166
shang mian 	上面	c=8 d=2.02049e-11 t=20166
shang mian de 	上面的	c=1 d=0.000553084 t=20166
shang qu 	上去	c=1 d=6.12835e-05 t=20166
shang quan 	商圈	c=1 d=0.00161245 t=20166
shang sheng 	上升	c=1 d=0.00467746 t=20166
shang sheng dao 	上升道	c=1 d=1.34752e-09 t=20166
shang shu 	上述	c=1 d=6.84211e-07 t=20166
shang tian 	上天	c=1 d=9.73951e-14 t=20166
shang tou 	上頭	c=2 d=1.02963e-13 t=20166
shang wu 	上午	c=4 d=1.17244e-11 t=20166
shang xian 	上線	c=5 d=0.00447509 t=20166
shang xian hou 	上線後	c=1 d=0.0025415 t=20166
shang xin 	上心	c=1 d=1.26771e-26 t=20166
shang xue 	上學	c=2 d=0.000385874 t=20166
shang xue le ma 	上學了嗎	c=1 d=4.72849e-13 t=20166
shang yi 	商議	c=1 d=6.28991e-17 t=20166
shang yi ci 	上一次	c=1 d=7.89201e-10 t=20166
shang yi ge 	上一個	c=1 d=4.9384e-24 t=20166
shang yi jia 	上一家	c=2 d=2.59683e-24 t=20166
shang yi ri 	上一日	c=1 d=0.000139842 t=20166
shang ying 	上映	c=1 d=4.96062e-18 t=20166
shang yun 	上雲	c=3 d=2.76077e-06 t=20166
shang zhang 	上漲	c=1 d=1.41391e-16 t=20166
shang zhou 	上週	c=2 d=6.67431e-09 t=20166
shang zhou wu 	上週五	c=3 d=0.000418016 t=20166
shao 	少	c=4 d=1.25903e-05 t=20166
shao 	燒	c=0 d=4.87001e-08 t=20166
shao 	邵	c=1 d=5.2411e-18 t=20166
shao bu liao 	少不了	c=0 d=7.7476e-29 t=20166
shao bu liao de 	少不了的	c=1 d=7.78643e-28 t=20166
shao chai huo 	燒柴火	c=1 d=4.89442e-07 t=20166
shao gan 	少幹	c=1 d=2.58079e-07 t=20166
shao jin 	邵金	c=1 d=0.00357068 t=20166
shao le 	少了	c=2 d=0.000111666 t=20166
she bei 	設備	c=9 d=0.00758658 t=20166
she chu 	社畜	c=2 d=0.000698342 t=20166
she ding 	設定	c=2 d=6.51174e-13 t=20166
she hui xing 	社會性	c=1 d=8.02493e-30 t=20166
she ji 	設計	c=9 d=1.44897e-10 t=20166
she lie 	涉獵	c=1 d=2.94668e-08 t=20166
she xiang 	設想	c=1 d=3.85664e-27 t=20166
she zhi 	設置	c=20 d=1.93678 t=20166
she zhi hao 	設置好	c=1 d=0.0020396 t=20166
shei 	誰	c=7 d=0.000330468 t=20166
shei chu qu 	誰出去	c=1 d=2.4305e-07 t=20166
shei hai dao gua 	誰還倒掛	c=1 d=3.44365e-18 t=20166
shei jiao ni 	誰叫你	c=1 d=1.77068e-16 t=20166
shei qu 	誰去	c=1 d=2.13305e-30 t=20166
shei quan 	誰全	c=1 d=2.12241e-30 t=20166
shei shuo 	誰說	c=0 d=2.14673e-18 t=20166
shei shuo bu shi ne 	誰說不是呢	c=1 d=2.15749e-17 t=20166
shen 	沈	c=2 d=0.0412549 t=20166
shen 	申	c=1 d=2.70142e-15 t=20166
shen chu 	深處	c=1 d=0.183599 t=20166
shen du 	深度	c=3 d=1.80494e-05 t=20166
shen fen 	身份	c=1 d=0.000387808 t=20166
shen fen zheng 	身份證	c=2 d=0.000720907 t=20166
shen gou 	申購	c=1 d=1.65041e-12 t=20166
shen ji 	神擊	c=1 d=0.00904991 t=20166
shen ke 	深刻	c=0 d=1.98168e-18 t=20166
